name_common,age,mlb_ID,player_ID,year_ID,stint_ID,team_ID,lg_ID,pitcher,salary,OPS_plus,WAR,sumWAR,avgOPSplus,adjusted_sal
Mike Aldrete,27.0,110119.0,aldremi01,1988,1,SFG,NL,N,160000.0,102.5386,1.31,1.31,102.5386,320563.98985629756
Mike Aldrete,28.0,110119.0,aldremi01,1989,1,WSN,NL,N,202500.0,81.3219,-0.13,-0.13,81.3219,387064.05241935485
Mike Aldrete,29.0,110119.0,aldremi01,1990,1,WSN,NL,N,297500.0,99.5961,0.73,0.73,99.5961,539499.2922723795
Mike Aldrete,30.0,110119.0,aldremi01,1991,1,SDP,NL,N,510000.0,-49.3756,-0.41,0.09000000000000002,23.53025,887508.5903083701
Mike Aldrete,32.0,110119.0,aldremi01,1993,1,OAK,AL,N,200000.0,118.9834,1.23,1.23,118.9834,328051.21107266436
Mike Aldrete,33.0,110119.0,aldremi01,1994,1,OAK,AL,N,430000.0,75.3301,0.31,0.31,75.3301,687701.1470985155
Mike Aldrete,34.0,110119.0,aldremi01,1995,1,OAK,AL,N,430000.0,116.2834,0.59,0.49,72.55355,668748.7532808399
Mike Aldrete,35.0,110119.0,aldremi01,1996,1,LAA,AL,N,250000.0,59.4548,-0.35,-0.37,78.7251,377656.1504142766
Manny Alexander,21.0,110129.0,alexama02,1992,1,BAL,AL,N,109000.0,12.3859,-0.02,-0.02,12.3859,184140.0784034212
Manny Alexander,24.0,110129.0,alexama02,1995,1,BAL,AL,N,130000.0,60.1196,0.0,0.0,60.1196,202179.8556430446
Manny Alexander,25.0,110129.0,alexama02,1996,1,BAL,AL,N,190000.0,-36.6763,-1.28,-1.28,-36.6763,287018.6743148502
Manny Alexander,26.0,110129.0,alexama02,1997,1,NYM,NL,N,205000.0,79.7818,0.7,1.0,85.3757,302731.9937694704
Manny Alexander,27.0,110129.0,alexama02,1998,1,CHC,NL,N,425000.0,57.6318,-1.04,-1.04,57.6318,617989.1104294478
Manny Alexander,28.0,110129.0,alexama02,1999,1,CHC,NL,N,475000.0,70.2158,0.22,0.22,70.2158,675768.7575030013
Manny Alexander,29.0,110129.0,alexama02,2000,1,BOS,AL,N,612500.0,45.9708,-0.72,-0.72,45.9708,843048.2723577237
Edgardo Alfonzo,21.0,110135.0,alfoned01,1995,1,NYM,NL,N,109000.0,82.3578,0.69,0.69,82.3578,169520.03280839894
Edgardo Alfonzo,22.0,110135.0,alfoned01,1996,1,NYM,NL,N,180000.0,75.1119,1.01,1.01,75.1119,271912.4282982792
Edgardo Alfonzo,23.0,110135.0,alfoned01,1997,1,NYM,NL,N,215000.0,118.8022,6.21,6.21,118.8022,317499.4080996885
Edgardo Alfonzo,24.0,110135.0,alfoned01,1998,1,NYM,NL,N,1750000.0,106.1222,2.68,2.68,106.1222,2544661.042944785
Edgardo Alfonzo,25.0,110135.0,alfoned01,1999,1,NYM,NL,N,2800000.0,125.4785,6.04,6.04,125.4785,3983478.9915966387
Edgardo Alfonzo,26.0,110135.0,alfoned01,2000,1,NYM,NL,N,4225000.0,146.6517,6.42,6.42,146.6517,5815312.572590012
Edgardo Alfonzo,27.0,110135.0,alfoned01,2001,1,NYM,NL,N,5750000.0,90.4562,1.56,1.56,90.4562,7695357.142857143
Edgardo Alfonzo,28.0,110135.0,alfoned01,2002,1,NYM,NL,N,6200000.0,127.6114,5.04,5.04,127.6114,8168456.920511395
Edgardo Alfonzo,29.0,110135.0,alfoned01,2003,1,SFG,NL,N,4000000.0,89.7824,0.29,0.29,89.7824,5152543.478260869
Edgardo Alfonzo,30.0,110135.0,alfoned01,2004,1,SFG,NL,N,6500000.0,94.8406,0.55,0.55,94.8406,8155693.488618316
Edgardo Alfonzo,31.0,110135.0,alfoned01,2005,1,SFG,NL,N,7500000.0,76.3594,-1.0,-1.0,76.3594,9102035.330261135
Edgardo Alfonzo,32.0,110135.0,alfoned01,2006,1,LAA,AL,N,8000000.0,-33.0087,-0.63,-0.69,-3.8696499999999983,9405436.507936507
Eliezer Alfonzo,28.0,425769.0,alfonel01,2007,1,SFG,NL,N,382000.0,64.6251,0.03,0.03,64.6251,436672.2323504162
Luis Alicea,27.0,110136.0,alicelu01,1993,1,STL,NL,N,160000.0,100.5131,1.53,1.53,100.5131,262440.9688581315
Luis Alicea,28.0,110136.0,alicelu01,1994,1,STL,NL,N,650000.0,117.99,1.14,1.14,117.99,1039548.2456140352
Luis Alicea,29.0,110136.0,alicelu01,1995,1,BOS,AL,N,800000.0,92.1503,2.28,2.28,92.1503,1244183.7270341206
Luis Alicea,30.0,110136.0,alicelu01,1996,1,STL,NL,N,750000.0,94.3658,1.06,1.06,94.3658,1132968.4512428297
Luis Alicea,31.0,110136.0,alicelu01,1997,1,LAA,AL,N,650000.0,94.3196,2.9,2.9,94.3196,959881.9314641744
Luis Alicea,32.0,110136.0,alicelu01,1998,1,TEX,AL,N,750000.0,104.0709,1.8,1.8,104.0709,1090569.018404908
Luis Alicea,33.0,110136.0,alicelu01,1999,1,TEX,AL,N,825000.0,60.3181,0.1,0.1,60.3181,1173703.6314525811
Luis Alicea,34.0,110136.0,alicelu01,2000,1,TEX,AL,N,750000.0,94.5355,1.07,1.07,94.5355,1032304.0069686412
Luis Alicea,35.0,110136.0,alicelu01,2001,1,KCR,AL,N,800000.0,77.0811,0.26,0.26,77.0811,1070658.3850931677
Luis Alicea,36.0,110136.0,alicelu01,2002,1,KCR,AL,N,800000.0,59.236,-0.14,-0.14,59.236,1053994.441356309
Andy Allanson,24.0,110137.0,allanan01,1986,1,CLE,AL,N,60000.0,48.6389,-1.04,-1.04,48.6389,129753.83211678833
